,ID,Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
,43,"Owens, J.L., Thomas, B.W., Stoeckli, J.L., Beauchemin, K.A., McAllister, T.A., Larney, F.J., Hao, X.",57193350505;55981798700;57200278693;7006478754;7102068695;7004265800;7202000550;,Greenhouse gas and ammonia emissions from stored manure from beef cattle supplemented 3-nitrooxypropanol and monensin to reduce enteric methane emissions,2020,Scientific Reports,10,1,19310,,,,8,10.1038/s41598-020-75236-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095704020&doi=10.1038%2fs41598-020-75236-w&partnerID=40&md5=dfe9a63b1884ad05b2da2f82ae4ede73,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85095704020
,44,"Chen, Z., An, C., Fang, H., Zhang, Y., Zhou, Z., Zhou, Y., Zhao, S.",57212383356;14830211800;57215843723;57215843640;57215842818;55365856200;55256883600;,Assessment of regional greenhouse gas emission from beef cattle production: A case study of Saskatchewan in Canada,2020,Journal of Environmental Management,264,,110443,,,,33,10.1016/j.jenvman.2020.110443,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082073203&doi=10.1016%2fj.jenvman.2020.110443&partnerID=40&md5=cda4c589d8db41bbbaca8d1d868d27da,Article,Final,,Scopus,2-s2.0-85082073203
,45,"Liang, C., MacDonald, J.D., Desjardins, R.L., McConkey, B.G., Beauchemin, K.A., Flemming, C., Cerkowniak, D., Blondel, A.",7202071193;35120461000;7102933062;7005816927;7006478754;57206303304;55557550200;57215097137;,Beef cattle production impacts soil organic carbon storage,2020,Science of the Total Environment,718,,137273,,,,10,10.1016/j.scitotenv.2020.137273,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079905455&doi=10.1016%2fj.scitotenv.2020.137273&partnerID=40&md5=5c8bcd6c430df9e4557d5bfc30fd1964,Article,Final,,Scopus,2-s2.0-85079905455
,46,"He, W., Dutta, B., Grant, B.B., Chantigny, M.H., Hunt, D., Bittman, S., Tenuta, M., Worth, D., VanderZaag, A., Desjardins, R.L., Smith, W.N.",56539137400;55089592800;8503817300;6603601520;15049428500;55886851400;6603063269;15830822000;25723924700;7102933062;56328807300;,Assessing the effects of manure application rate and timing on nitrous oxide emissions from managed grasslands under contrasting climate in Canada,2020,Science of the Total Environment,716,,135374,,,,19,10.1016/j.scitotenv.2019.135374,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076548968&doi=10.1016%2fj.scitotenv.2019.135374&partnerID=40&md5=5a2bac80c0aedf9e162839c40e6889db,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85076548968
,47,"Boh, M.Y., Clark, O.G.",35739668300;10440695500;,Nitrogen and phosphorus flows in Ontario's food systems,2020,"Resources, Conservation and Recycling",154,,104639,,,,9,10.1016/j.resconrec.2019.104639,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076482071&doi=10.1016%2fj.resconrec.2019.104639&partnerID=40&md5=580dd93173318befba8fa236c81dbe30,Article,Final,,Scopus,2-s2.0-85076482071
,48,"Jiang, Q., Qi, Z., Madramootoo, C.A., Smith, W., Abbasi, N.A., Zhang, T.Q.",57197780188;14625758600;7005854414;56328807300;56373330700;7404373735;,Comparison of Rzwqm2 and Dndc Models to Simulate Greenhouse Gas Emissions under Combined Inorganic/Organic Fertilization in A Subsurface-Drained Field,2020,Transactions of the ASABE,63,4,,771,787,,12,10.13031/TRANS.13668,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090383248&doi=10.13031%2fTRANS.13668&partnerID=40&md5=83694aa39bba0b57de0eda034f6a822a,Article,Final,,Scopus,2-s2.0-85090383248
,49,"Létourneau, V., Duchaine, C., Belzile, M., Girard, M., Lemay, S.P., Godbout, S.",23477502000;57215445516;25649049500;35319615100;57204293482;6603413843;,Bench-scale pig buildings: Validation of a model for studying airborne contaminants of concern for human and animal health,2020,Transactions of the ASABE,63,2,,541,548,,2,10.13031/trans.13325,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084679695&doi=10.13031%2ftrans.13325&partnerID=40&md5=b3faaae15c1f81eadd90d725ec7e10ea,Article,Final,,Scopus,2-s2.0-85084679695
,50,"Sokolov, V., VanderZaag, A., Habtewold, J., Dunfield, K., Wagner-Riddle, C., Venkiteswaran, J., Gordon, R.",57195545151;25723924700;57201269740;6505851121;6701603287;6507911199;56653882200;,Greenhouse gas emissions from gradually-filled liquid dairy manure storages with different levels of inoculant,2019,Nutrient Cycling in Agroecosystems,115,3,,455,467,,3,10.1007/s10705-019-10023-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073824055&doi=10.1007%2fs10705-019-10023-2&partnerID=40&md5=3fd1ad1322d3a39c4a2e9d56264d9be0,Article,Final,,Scopus,2-s2.0-85073824055
,51,"Rajagopal, R., Ghosh, D., Ashraf, S., Goyette, B., Zhao, X.",8575702600;57200679456;56079885200;6602688596;7407576254;,Effects of low-temperature dry anaerobic digestion on methane production and pathogen reduction in dairy cow manure,2019,International Journal of Environmental Science and Technology,16,8,,4803,4810,,11,10.1007/s13762-019-02291-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062962612&doi=10.1007%2fs13762-019-02291-w&partnerID=40&md5=a871f9349f2024d177870a6ab9f8b44e,Article,Final,,Scopus,2-s2.0-85062962612
,52,"Maltais-Landry, G., Nesic, Z., Grant, N., Godinez, M., Thompson, B., Hsu, L.-Y., Smukler, S.M.",23470293400;6701752616;7102185272;57210915277;57210449158;57210917913;23986977300;,Quantifying trade-offs among on-farm and off-farm fertility sources to make vegetable organic farming systems more sustainable,2019,"Agriculture, Ecosystems and Environment",286,,106657,,,,4,10.1016/j.agee.2019.106657,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071857225&doi=10.1016%2fj.agee.2019.106657&partnerID=40&md5=a873421f8192cdb8f014edf5f71398f7,Article,Final,,Scopus,2-s2.0-85071857225
,53,"Hassanat, F., Benchaar, C.",8310982300;6602579949;,Methane emissions of manure from dairy cows fed red clover- or corn silage-based diets supplemented with linseed oil,2019,Journal of Dairy Science,102,12,,11766,11776,,10,10.3168/jds.2018-16014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071495331&doi=10.3168%2fjds.2018-16014&partnerID=40&md5=638eb65d58f84fe111e3d08e8ef33c89,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85071495331
,54,"Benchaar, C., Hassanat, F.",6602579949;8310982300;,Methane emissions of stored manure from dairy cows fed conventional or brown midrib corn silage,2019,Journal of Dairy Science,102,11,,10632,10638,,8,10.3168/jds.2019-16822,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071485198&doi=10.3168%2fjds.2019-16822&partnerID=40&md5=ffe0d987a68331bea1cb7427e8455ebc,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85071485198
,55,"Hunt, D., Bittman, S., Chantigny, M., Lemke, R.",15049428500;55886851400;6603601520;57206399186;,Year-Round N2O Emissions From Long-Term Applications of Whole and Separated Liquid Dairy Slurry on a Perennial Grass Sward and Strategies for Mitigation,2019,Frontiers in Sustainable Food Systems,3,,86,,,,7,10.3389/fsufs.2019.00086,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077617706&doi=10.3389%2ffsufs.2019.00086&partnerID=40&md5=3478a25c6296453850f58531ddb3635f,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85077617706
,56,"McVoitte, W.P.A., Clark, O.G.",57210194835;10440695500;,The effects of temperature and duration of thermal pretreatment on the solid-state anaerobic digestion of dairy cow manure,2019,Heliyon,5,7,e02140,,,,24,10.1016/j.heliyon.2019.e02140,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069865867&doi=10.1016%2fj.heliyon.2019.e02140&partnerID=40&md5=03402f748e68ba40132900009307f16e,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85069865867
,57,"Pokharel, P., Chang, S.X.",57188747125;7405608250;,"Manure pellet, woodchip and their biochars differently affect wheat yield and carbon dioxide emission from bulk and rhizosphere soils",2019,Science of the Total Environment,659,,,463,472,,24,10.1016/j.scitotenv.2018.12.380,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059349710&doi=10.1016%2fj.scitotenv.2018.12.380&partnerID=40&md5=f41b8e7b8e0fa37845512b26b4abdc1b,Article,Final,,Scopus,2-s2.0-85059349710
,58,"Quesnel, J., VanderZaag, A.C., Crolla, A., Kinsley, C., Gregorich, E.G., Wagner-Riddle, C.",57209306472;25723924700;8657914400;20433611500;7004740684;6701603287;,Surface and subsurface N2O losses from dairy cropping systems,2019,Nutrient Cycling in Agroecosystems,,,,,,,,10.1007/s10705-019-10004-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067304517&doi=10.1007%2fs10705-019-10004-5&partnerID=40&md5=89694e56aaf778b8ff824c8cba8d7af0,Article,Article in Press,,Scopus,2-s2.0-85067304517
,59,"Adelekun, M., Akinremi, O., Tenuta, M., Nikièma, P.",57212173693;6603763345;6603063269;24332538100;,Soil nitrous oxide emissions associated with conversion of forage grass to annual crop receiving annual application of pig manure,2019,Canadian Journal of Soil Science,99,4,,420,433,,3,10.1139/cjss-2018-0134,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076102752&doi=10.1139%2fcjss-2018-0134&partnerID=40&md5=503db60f3f500eb2ed691620dde97406,Article,Final,,Scopus,2-s2.0-85076102752
,60,"Aita, C., Chantigny, M.H., Gonzatto, R., Miola, E.C.C., Rochette, P., Pujol, S.B., Dos Santos, D.B., Giacomini, D.A., Giacomini, S.J.",7005875001;6603601520;55560578700;55317672200;7006811223;55631493100;57220700612;55584408000;6701386972;,Winter-season gaseous nitrogen emissions in subtropical climate: Impacts of pig slurry injection and nitrification inhibitor,2019,Journal of Environmental Quality,48,5,,1414,1426,,10,10.2134/jeq2018.04.0137,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072958862&doi=10.2134%2fjeq2018.04.0137&partnerID=40&md5=1e9701903971cd742546bd7796813f68,Article,Final,,Scopus,2-s2.0-85072958862
,61,"Sokolov, V., VanderZaag, A., Habtewold, J., Dunfield, K., Wagner-Riddle, C., Venkiteswaran, J.J., Gordon, R.",57195545151;25723924700;57201269740;6505851121;6701603287;6507911199;56653882200;,Greenhouse gas mitigation through dairy manure acidification,2019,Journal of Environmental Quality,48,5,,1435,1443,,10,10.2134/jeq2018.10.0355,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072954784&doi=10.2134%2fjeq2018.10.0355&partnerID=40&md5=ecf57a69d88a8c76fc16fd76d0a08b43,Article,Final,,Scopus,2-s2.0-85072954784
,62,"Hosseini Koupaie, E., Azizi, A., Bazyar Lakeh, A.A., Hafez, H., Elbeshbishy, E.",48461260300;53263207600;35361558300;30467746200;35290683800;,Comparison of liquid and dewatered digestate as inoculum for anaerobic digestion of organic solid wastes,2019,Waste Management,87,,,228,236,,26,10.1016/j.wasman.2019.02.014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061192816&doi=10.1016%2fj.wasman.2019.02.014&partnerID=40&md5=b8ebaf9dfb3135d3250c1d35fa0c577d,Article,Final,,Scopus,2-s2.0-85061192816
,63,"VanderZaag, A.C., Baldé, H., Habtewold, J., Le Riche, E.L., Burtt, S., Dunfield, K., Gordon, R.J., Jenson, E., Desjardins, R.L.",25723924700;55542124400;57201269740;57192435812;14026536800;6505851121;56653882200;57132808600;7102933062;,"Intermittent agitation of liquid manure: effects on methane, microbial activity, and temperature in a farm-scale study",2019,Journal of the Air and Waste Management Association,69,9,,1096,1106,,4,10.1080/10962247.2019.1629359,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071163863&doi=10.1080%2f10962247.2019.1629359&partnerID=40&md5=9e5c23cb3b89ae3cf00dacbc4c30ea94,Article,Final,,Scopus,2-s2.0-85071163863
,64,"Dimitrov, D.D., Wang, J.",7202564508;35739431800;,"Geographic Inventory Framework for estimating spatial pattern of methane and nitrous oxide emissions from agriculture in Alberta, Canada",2019,Environmental Development,32,,100461,,,,8,10.1016/j.envdev.2019.100461,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073950718&doi=10.1016%2fj.envdev.2019.100461&partnerID=40&md5=5e0ba310e0a87251e4999d33b8706588,Article,Final,,Scopus,2-s2.0-85073950718
,65,"Shen, J., Treu, R., Wang, J., Hao, X., Thomas, B.W.",57220573576;6602427888;35739431800;7202000550;55981798700;,"Modeling growing season and annual cumulative nitrous oxide emissions and emission factors from organically fertilized soils planted with barley in Lethbridge, Alberta, Canada",2019,Agricultural Systems,176,,102654,,,,14,10.1016/j.agsy.2019.102654,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067212765&doi=10.1016%2fj.agsy.2019.102654&partnerID=40&md5=6b9d0dc581e73f072d595605ad09bd69,Article,Final,,Scopus,2-s2.0-85067212765
,66,"Mirmasoudi, S., Byrne, J., Kroebel, R., Johnson, D., MacDonald, R.",57202939730;7402802018;35113464800;55699207600;36116992400;,"Modelling historical and potential future climate impacts on Keremeos Creek, an Okanagan-Similkameen watershed, British Columbia, Canada: Part II. Forecasting change in farm-level greenhouse gas emissions",2019,Canadian Water Resources Journal,44,4,,367,381,,,10.1080/07011784.2019.1640138,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073655109&doi=10.1080%2f07011784.2019.1640138&partnerID=40&md5=6ffd294662ce664a14b49889d8d44d57,Article,Final,,Scopus,2-s2.0-85073655109
,67,"Maltais-Landry, G., Nesic, Z., Grant, N., Thompson, B., Smukler, S.M.",23470293400;6701752616;7102185272;57210449158;23986977300;,"Greater nitrogen availability, nitrous oxide emissions, and vegetable yields with fall-applied chicken relative to horse manure",2019,Agronomy,9,8,444,,,,3,10.3390/agronomy9080444,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070785841&doi=10.3390%2fagronomy9080444&partnerID=40&md5=bf4806648173a6af64de4ce41ec92d5f,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85070785841
,68,"Huang, D., Guo, H.",56424487500;7404404486;,Diurnal and seasonal variations of greenhouse gas emissions from a commercial broiler barn and cage-layer barn in the Canadian Prairies,2019,Environmental Pollution,248,,,726,735,,6,10.1016/j.envpol.2019.02.065,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062333710&doi=10.1016%2fj.envpol.2019.02.065&partnerID=40&md5=aea7c29023ff895f172c6c472c527ffc,Article,Final,,Scopus,2-s2.0-85062333710
,69,"Alvarez-Hess, P.S., Little, S.M., Moate, P.J., Jacobs, J.L., Beauchemin, K.A., Eckard, R.J.",57118139000;15829656200;6701453981;55507292900;7006478754;6603927289;,A partial life cycle assessment of the greenhouse gas mitigation potential of feeding 3-nitrooxypropanol and nitrate to cattle,2019,Agricultural Systems,169,,,14,23,,16,10.1016/j.agsy.2018.11.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057564385&doi=10.1016%2fj.agsy.2018.11.008&partnerID=40&md5=43732c64dccb2a1565bf84a9f8a5dc86,Article,Final,,Scopus,2-s2.0-85057564385
,70,"Fournel, S., Charbonneau, É., Binggeli, S., Dion, J.-M., Pellerin, D., Chantigny, M.H., Godbout, S.",55207041500;56117671100;57205184170;57211561398;56283439800;6603601520;6603413843;,"Optimal housing and manure management strategies to favor productive and environment-friendly dairy farms in Québec, Canada: Part I. Representative farm simulations",2019,Transactions of the ASABE,62,4,,959,972,,2,10.13031/trans.13271,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074419326&doi=10.13031%2ftrans.13271&partnerID=40&md5=d9c6c7b9ff0d67311d3ccfb7c87c925e,Article,Final,,Scopus,2-s2.0-85074419326
,71,"Smith, W., Grant, B., Qi, Z., He, W., VanderZaag, A., Drury, C.F., Vergè, X., Balde, H., Gordon, R., Helmers, M.J.",56328807300;8503817300;14625758600;56539137400;25723924700;7102825449;15833604800;55542124400;56653882200;55407280500;,Assessing the impacts of climate variability on fertilizer management decisions for reducing nitrogen losses from corn silage production,2019,Journal of Environmental Quality,48,4,,1006,1015,,18,10.2134/jeq2018.12.0433,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069480630&doi=10.2134%2fjeq2018.12.0433&partnerID=40&md5=d2f9aa9c3c8f1842c1611b67e98e752a,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85069480630
,73,"Zhu, S.X., Chang, S.X.",35077436800;7405608250;,"Effects of fertilizer regimes on greenhouse gas emissions in a Gray Luvisol from central Alberta, Canada",2018,IOP Conference Series: Earth and Environmental Science,191,1,12121,,,,,10.1088/1755-1315/191/1/012121,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058118602&doi=10.1088%2f1755-1315%2f191%2f1%2f012121&partnerID=40&md5=aff27cf4809faf795d1ef63423458910,Conference Paper,Final,"All Open Access, Gold",Scopus,2-s2.0-85058118602
,72,"He, W., Smith, W.N., Grant, B.B., VanderZaag, A.C., Schwager, E.A., Qi, Z., Reynolds, D., Wagner-Riddle, C.",56539137400;56328807300;8503817300;25723924700;57192435464;14625758600;57197374377;6701603287;,Understanding the fertilizer management impacts on water and nitrogen dynamics for a corn silage tile-drained system in Canada,2019,Journal of Environmental Quality,48,4,,1016,1028,,13,10.2134/jeq2018.11.0414,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069476748&doi=10.2134%2fjeq2018.11.0414&partnerID=40&md5=dfc2f209b88d48826f4913714bf517a6,Article,Final,,Scopus,2-s2.0-85069476748
,74,"Cherif, C., Hassanat, F., Claveau, S., Girard, J., Gervais, R., Benchaar, C.",57203280321;8310982300;25631951900;57203283139;24476075000;6602579949;,"Faba bean (Vicia faba) inclusion in dairy cow diets: Effect on nutrient digestion, rumen fermentation, nitrogen utilization, methane production, and milk performance",2018,Journal of Dairy Science,101,10,,8916,8928,,22,10.3168/jds.2018-14890,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051119725&doi=10.3168%2fjds.2018-14890&partnerID=40&md5=02fdaf9f681cf95be1df4ae59f7d62be,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85051119725
,75,"Brassard, P., Godbout, S., Palacios, J.H., Jeanne, T., Hogue, R., Dubé, P., Limousy, L., Raghavan, V.",56012818000;6603413843;55054647600;36969057000;56514994300;57193722332;23980219900;7103247218;,Effect of six engineered biochars on GHG emissions from two agricultural soils: A short-term incubation study,2018,Geoderma,327,,,73,84,,40,10.1016/j.geoderma.2018.04.022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046171732&doi=10.1016%2fj.geoderma.2018.04.022&partnerID=40&md5=bd5c4ab9724ea882c3fc3100a23081da,Article,Final,,Scopus,2-s2.0-85046171732
,76,"Maltais-Landry, G., Bertoni, N., Valley, W., Grant, N., Nesic, Z., Smukler, S.M.",23470293400;57202818380;55375400300;7102185272;6701752616;23986977300;,Greater impacts of incubation temperature and moisture on carbon and nitrogen cycling in poultry relative to horse manure-based soil amendments,2018,Journal of Environmental Quality,47,4,,914,921,,6,10.2134/jeq2017.11.0420,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049482968&doi=10.2134%2fjeq2017.11.0420&partnerID=40&md5=c04089590eb9cec5f36cdfec9cee3ff6,Article,Final,,Scopus,2-s2.0-85049482968
,77,"Habtewold, J., Gordon, R., Voroney, P., Sokolov, V., VanderZaag, A., Wagner-Riddle, C., Dunfield, K.",57201269740;56653882200;7004239094;57195545151;25723924700;6701603287;6505851121;,Sodium persulfate and potassium permanganate inhibit methanogens and methanogenesis in stored liquid dairy manure,2018,Journal of Environmental Quality,47,4,,786,794,,4,10.2134/jeq2018.01.0054,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049431885&doi=10.2134%2fjeq2018.01.0054&partnerID=40&md5=0d4d340f7ee317867945c86e69af5fb1,Article,Final,,Scopus,2-s2.0-85049431885
,78,"Maltais-Landry, G., Neufeld, K., Poon, D., Grant, N., Nesic, Z., Smukler, S.",23470293400;56840314100;57192200471;7102185272;6701752616;23986977300;,Protection from wintertime rainfall reduces nutrient losses and greenhouse gas emissions during the decomposition of poultry and horse manure-based amendments,2018,Journal of the Air and Waste Management Association,68,4,,377,388,,6,10.1080/10962247.2017.1409294,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045615002&doi=10.1080%2f10962247.2017.1409294&partnerID=40&md5=11ee1de44c7c4519250f4d58c4398b9c,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85045615002
,79,"VanderZaag, A.C., Baldé, H., Crolla, A., Gordon, R.J., Ngwabie, N.M., Wagner-Riddle, C., Desjardins, R., MacDonald, J.D.",25723924700;55542124400;8657914400;56653882200;22035467700;6701603287;7102933062;35120461000;,Potential methane emission reductions for two manure treatment technologies,2018,Environmental Technology (United Kingdom),39,7,,851,858,,17,10.1080/09593330.2017.1313317,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018167076&doi=10.1080%2f09593330.2017.1313317&partnerID=40&md5=5fdf4f6b8d3f0b6286909fe21fe4870f,Article,Final,,Scopus,2-s2.0-85018167076
,80,"Westphal, M., Tenuta, M., Entz, M.H.",57197822896;6603063269;6701876805;,Nitrous oxide emissions with organic crop production depends on fall soil moisture,2018,"Agriculture, Ecosystems and Environment",254,,,41,49,,22,10.1016/j.agee.2017.11.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034956908&doi=10.1016%2fj.agee.2017.11.005&partnerID=40&md5=4576d5e054e918f39d052b46f698b0d5,Article,Final,,Scopus,2-s2.0-85034956908
,81,"Maldaner, L., Wagner-Riddle, C., VanderZaag, A.C., Gordon, R., Duke, C.",57200033636;6701603287;25723924700;56653882200;57200551727;,Methane emissions from storage of digestate at a dairy manure biogas facility,2018,Agricultural and Forest Meteorology,258,,,96,107,,32,10.1016/j.agrformet.2017.12.184,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041607084&doi=10.1016%2fj.agrformet.2017.12.184&partnerID=40&md5=e2a1b75e26a948759531f41974be3274,Article,Final,,Scopus,2-s2.0-85041607084
,82,"Mechler, M.A.A., Jiang, R.W., Silverthorn, T.K., Oelbermann, M.",57203784347;57203779531;57203788923;7801551185;,Impact of biochar on soil characteristics and temporal greenhouse gas emissions: A field study from southern Canada,2018,Biomass and Bioenergy,118,,,154,162,,18,10.1016/j.biombioe.2018.08.019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052943663&doi=10.1016%2fj.biombioe.2018.08.019&partnerID=40&md5=44560fac0b97723cea1b4e562d59cbdd,Article,Final,,Scopus,2-s2.0-85052943663
,83,"Kariyapperuma, K.A., Johannesson, G., Maldaner, L., VanderZaag, A., Gordon, R., Wagner-Riddle, C.",54583612600;57195057814;57200033636;25723924700;56653882200;6701603287;,Year-round methane emissions from liquid dairy manure in a cold climate reveal hysteretic pattern,2018,Agricultural and Forest Meteorology,258,,,56,65,,17,10.1016/j.agrformet.2017.12.185,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038865398&doi=10.1016%2fj.agrformet.2017.12.185&partnerID=40&md5=ca1e2d19bceb2878090c85120738d8dc,Article,Final,,Scopus,2-s2.0-85038865398
,84,"Fedrizzi, F., Cabana, H., Ndanga, .M., Cabral, A.R.",26653547100;15768692600;56518175100;35613110700;,Biofiltration of methane from cow barns: Effects of climatic conditions and packing bed media acclimatization,2018,Waste Management,78,,,669,676,,7,10.1016/j.wasman.2018.06.038,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048972784&doi=10.1016%2fj.wasman.2018.06.038&partnerID=40&md5=aa058993ee61c281f2acece7e921abdb,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85048972784
,85,"Yitbarek, A., López, S., Tenuta, M., Asgedom, H., France, J., Nyachoti, C.M., Kebreab, E.",50162834200;7202082224;6603063269;6505589291;7102585576;6701417987;10239902300;,Effect of dietary phytase supplementation on greenhouse gas emissions from soil after swine manure application,2017,Journal of Cleaner Production,166,,,1122,1130,,9,10.1016/j.jclepro.2017.08.079,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029177320&doi=10.1016%2fj.jclepro.2017.08.079&partnerID=40&md5=66f905cdd6c302ea7729f51c3e4cc9e6,Article,Final,,Scopus,2-s2.0-85029177320
,86,"Little, S.M., Benchaar, C., Janzen, H.H., Kröbel, R., McGeough, E.J., Beauchemin, K.A.",15829656200;6602579949;7005291724;35113464800;36611892600;7006478754;,Demonstrating the effect of forage source on the carbon footprint of a Canadian dairy farm using whole-systems analysis and the holos model: Alfalfa silage vs. corn silage,2017,Climate,5,4,87,,,,23,10.3390/cli5040087,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040358481&doi=10.3390%2fcli5040087&partnerID=40&md5=cf1f07ffa4345dd76b369966a2201cb4,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85040358481
,87,"Fillingham, M.A., VanderZaag, A.C., Burtt, S., Baldé, H., Ngwabie, N.M., Smith, W., Hakami, A., Wagner-Riddle, C., Bittman, S., MacDonald, D.",57195683527;25723924700;14026536800;55542124400;22035467700;56328807300;6602363573;6701603287;55886851400;35120461000;,Greenhouse gas and ammonia emissions from production of compost bedding on a dairy farm,2017,Waste Management,70,,,45,52,,38,10.1016/j.wasman.2017.09.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029476065&doi=10.1016%2fj.wasman.2017.09.013&partnerID=40&md5=ec16150a4ae8d9d3efa914bce2bf7a85,Article,Final,,Scopus,2-s2.0-85029476065
,88,"Thomas, B.W., Hao, X.",55981798700;7202000550;,Nitrous oxide emitted from soil receiving anaerobically digested solid cattle manure,2017,Journal of Environmental Quality,46,4,,741,750,,13,10.2134/jeq2017.02.0044,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026324764&doi=10.2134%2fjeq2017.02.0044&partnerID=40&md5=6c478378480c949f9a35577053b2bd6b,Article,Final,,Scopus,2-s2.0-85026324764
,89,"Hao, X., Larney, F.J.",7202000550;7004265800;,Greenhouse gas emissions during co-composting of cattle feedlot manure with construction and demolition (C&amp;D) waste,2017,Frontiers of Environmental Science and Engineering,11,3,15,,,,9,10.1007/s11783-017-0955-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020656825&doi=10.1007%2fs11783-017-0955-1&partnerID=40&md5=6c9f16ed8d9121fc7f37548427756ed6,Article,Final,,Scopus,2-s2.0-85020656825
,90,"Hassanat, F., Gervais, R., Benchaar, C.",8310982300;24476075000;6602579949;,"Methane production, ruminal fermentation characteristics, nutrient digestibility, nitrogen excretion, and milk production of dairy cows fed conventional or brown midrib corn silage",2017,Journal of Dairy Science,100,4,,2625,2636,,29,10.3168/jds.2016-11862,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011284154&doi=10.3168%2fjds.2016-11862&partnerID=40&md5=8d93ddd4218138cdb97be1d6449d79b3,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85011284154
Micro,91,"Snider, D.M., Wagner-Riddle, C., Spoelstra, J.",36958335900;6701603287;6701433644;,Stable isotopes reveal rapid cycling of soil nitrogen after manure application,2017,Journal of Environmental Quality,46,2,,261,271,,16,10.2134/jeq2016.07.0253,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015894612&doi=10.2134%2fjeq2016.07.0253&partnerID=40&md5=0f39094043e85d8a33b707e5fd31da4b,Article,Final,,Scopus,2-s2.0-85015894612
